,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant
36,Grays Harbor,14005.0,Aberdeen School District,5514.0,Grays Harbor Academy,A,12th Grade,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,2
43,Grays Harbor,14005.0,Aberdeen School District,4267.0,Grays Harbor Juvenile Detention,J,12th Grade,5,1,0,4,1,0,1,0,0,1,2,0,0,0,0,3,0,0,4,0,0,5,5,5,5,2,5
48,Grays Harbor,14005.0,Aberdeen School District,3857.0,Harbor High School,P,12th Grade,51,29,0,22,3,0,0,15,1,2,30,8,0,0,19,40,0,1,9,4,9,43,50,51,32,11,51
55,Grays Harbor,14005.0,Aberdeen School District,3476.0,J M Weatherwax High School,P,12th Grade,222,96,0,126,4,9,2,64,0,17,126,17,0,14,12,111,3,1,14,10,41,205,221,208,210,111,219
88,Grays Harbor,14005.0,Aberdeen School District,5208.0,"Twin Harbors, A Branch of New Market Skills Center",V,12th Grade,8,5,0,3,1,0,1,0,0,0,6,0,0,0,0,2,1,0,0,0,0,8,8,8,8,6,7
100,Lewis,21226.0,Adna School District,2441.0,Adna Middle/High School,P,12th Grade,65,26,0,39,0,0,0,5,0,0,60,0,0,0,2,17,0,0,5,4,2,65,63,65,63,48,65
119,Skagit,29103.0,Anacortes School District,2467.0,Anacortes High School,P,12th Grade,175,84,0,91,1,9,1,18,0,3,143,5,0,0,0,37,0,14,3,6,18,170,175,175,175,138,175
128,Skagit,29103.0,Anacortes School District,5176.0,Cap Sante High School,A,12th Grade,43,17,0,26,0,0,0,7,0,2,34,0,0,0,0,22,0,1,8,6,2,43,43,43,43,21,43
157,Snohomish,31016.0,Arlington School District,2523.0,Arlington High School,P,12th Grade,415,187,0,228,5,7,3,56,3,16,325,9,0,13,21,123,3,2,14,26,40,406,413,402,394,292,412
161,Snohomish,31016.0,Arlington School District,5495.0,Arlington Open Doors,R,12th Grade,41,16,0,25,1,0,0,7,0,0,33,0,0,0,4,18,0,0,14,3,6,41,41,41,37,23,41
