,County,DistrictCode,DistrictName,SchoolCode,SchoolName,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DisciplineDenominator,DisciplineNumerator,DisciplineRate,DistrictCode_y,Expenditure
0,Grays Harbor,14005.0,Aberdeen School District,3857.0,Harbor High School,P,12th Grade,51.0,29.0,0.0,22.0,3.0,0.0,0.0,15.0,1.0,2.0,30.0,8.0,0.0,0.0,19.0,40.0,0.0,1.0,9.0,4.0,9.0,43.0,50.0,51.0,32.0,11.0,51.0,41.0,2.0,,,2.0,7.0,1.0,42.0,14.0,19.0,9.0,0.3333,78,4,5.10%,14005.0,1760238.6
1,Grays Harbor,14005.0,Aberdeen School District,3476.0,J M Weatherwax High School,P,12th Grade,222.0,96.0,0.0,126.0,4.0,9.0,2.0,64.0,0.0,17.0,126.0,17.0,0.0,14.0,12.0,111.0,3.0,1.0,14.0,10.0,41.0,205.0,221.0,208.0,210.0,111.0,219.0,193.0,27.0,3.0,2.0,2.0,3.0,24.0,196.0,161.0,25.0,10.0,0.8214,244,11,4.50%,14005.0,14207768.8
2,Skagit,29103.0,Anacortes School District,2467.0,Anacortes High School,P,12th Grade,175.0,84.0,0.0,91.0,1.0,9.0,1.0,18.0,0.0,3.0,143.0,5.0,0.0,0.0,0.0,37.0,0.0,14.0,3.0,6.0,18.0,170.0,175.0,175.0,175.0,138.0,175.0,167.0,26.0,,,1.0,2.0,25.0,168.0,161.0,4.0,3.0,0.9583,Count Suppressed,Count Suppressed,<2%,29103.0,11196179.6
3,Skagit,29103.0,Anacortes School District,5176.0,Cap Sante High School,A,12th Grade,43.0,17.0,0.0,26.0,0.0,0.0,0.0,7.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,8.0,6.0,2.0,43.0,43.0,43.0,43.0,21.0,43.0,41.0,5.0,,,1.0,10.0,7.0,39.0,15.0,13.0,11.0,0.3846,Count Suppressed,Count Suppressed,<5%,29103.0,690262.4
4,Snohomish,31016.0,Arlington School District,2523.0,Arlington High School,P,12th Grade,415.0,187.0,0.0,228.0,5.0,7.0,3.0,56.0,3.0,16.0,325.0,9.0,0.0,13.0,21.0,123.0,3.0,2.0,14.0,26.0,40.0,406.0,413.0,402.0,394.0,292.0,412.0,399.0,26.0,1.0,,4.0,12.0,36.0,389.0,365.0,7.0,17.0,0.9383,424,9,2.10%,31016.0,21170675.6
5,Snohomish,31016.0,Arlington School District,2277.0,Arlington Special Educ School,P,12th Grade,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,Suppressed: N<10,31016.0,1252405.6
6,Snohomish,31016.0,Arlington School District,4287.0,Weston High School,A,12th Grade,55.0,25.0,0.0,30.0,1.0,1.0,1.0,6.0,0.0,2.0,44.0,4.0,0.0,1.0,6.0,27.0,1.0,1.0,14.0,4.0,9.0,51.0,55.0,54.0,49.0,28.0,54.0,38.0,7.0,,,1.0,1.0,9.0,36.0,20.0,14.0,2.0,0.5556,Count Suppressed,Count Suppressed,<4%,31016.0,2842139.6
7,Asotin,2420.0,Asotin-Anatone School District,2434.0,Asotin Jr Sr High,P,12th Grade,61.0,34.0,0.0,27.0,0.0,1.0,0.0,6.0,0.0,3.0,51.0,0.0,0.0,3.0,2.0,15.0,0.0,0.0,0.0,1.0,0.0,61.0,60.0,58.0,59.0,46.0,61.0,60.0,9.0,,,1.0,1.0,6.0,63.0,58.0,3.0,2.0,0.9206,62,6,9.70%,2420.0,4281702.0
8,King,17408.0,Auburn School District,5037.0,Auburn Mountainview High School,P,12th Grade,378.0,205.0,0.0,173.0,2.0,51.0,48.0,65.0,2.0,30.0,180.0,40.0,0.0,15.0,7.0,169.0,0.0,2.0,16.0,17.0,33.0,338.0,378.0,363.0,371.0,209.0,378.0,366.0,48.0,,2.0,7.0,17.0,46.0,368.0,337.0,5.0,26.0,0.9158,400,18,4.50%,17408.0,21179070.9
9,King,17408.0,Auburn School District,5522.0,Auburn Opportunity Project,R,12th Grade,77.0,36.0,0.0,41.0,3.0,2.0,6.0,22.0,2.0,6.0,36.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,38.0,5.0,6.0,77.0,77.0,77.0,76.0,42.0,77.0,51.0,8.0,,,,26.0,0.0,59.0,14.0,19.0,26.0,0.2373,Count Suppressed,Count Suppressed,<2%,,
10,King,17408.0,Auburn School District,4474.0,Auburn Riverside High School,P,12th Grade,346.0,182.0,0.0,164.0,2.0,36.0,18.0,96.0,13.0,15.0,166.0,32.0,0.0,22.0,2.0,133.0,0.0,6.0,10.0,8.0,28.0,314.0,345.0,324.0,344.0,213.0,346.0,349.0,50.0,,1.0,4.0,14.0,53.0,346.0,319.0,8.0,19.0,0.922,375,16,4.30%,17408.0,21275147.4
11,King,17408.0,Auburn School District,2795.0,Auburn Senior High School,P,12th Grade,393.0,201.0,0.0,192.0,5.0,40.0,29.0,138.0,25.0,21.0,135.0,47.0,0.0,3.0,8.0,241.0,1.0,6.0,36.0,24.0,55.0,346.0,392.0,390.0,385.0,152.0,392.0,393.0,65.0,4.0,6.0,8.0,36.0,55.0,403.0,320.0,29.0,54.0,0.794,435,20,4.60%,17408.0,25132901.2
12,,,,1915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,0.0,0.0,0.0,0.0,,Count Suppressed,Count Suppressed,Suppressed: N<10,17408.0,10057277.5
13,King,17408.0,Auburn School District,2702.0,West Auburn Senior High School,A,12th Grade,77.0,38.0,0.0,39.0,2.0,5.0,8.0,24.0,9.0,3.0,26.0,11.0,0.0,0.0,5.0,50.0,0.0,0.0,30.0,4.0,12.0,66.0,76.0,77.0,72.0,27.0,77.0,99.0,13.0,,4.0,23.0,31.0,12.0,100.0,24.0,18.0,58.0,0.24,134,10,7.50%,17408.0,4580593.6
14,Kitsap,18303.0,Bainbridge Island School District,2395.0,Bainbridge High School,P,12th Grade,285.0,138.0,1.0,146.0,4.0,12.0,0.0,20.0,0.0,24.0,225.0,1.0,0.0,49.0,0.0,17.0,0.0,4.0,4.0,57.0,10.0,284.0,285.0,236.0,285.0,268.0,285.0,284.0,38.0,,,3.0,5.0,36.0,286.0,272.0,6.0,8.0,0.951,296,6,2.00%,18303.0,16146658.9
15,,,,1939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,18303.0,40261.0
16,Kitsap,18303.0,Bainbridge Island School District,1935.0,Eagle Harbor High School,A,12th Grade,32.0,12.0,0.0,20.0,0.0,3.0,0.0,2.0,0.0,1.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,32.0,32.0,31.0,32.0,31.0,32.0,39.0,1.0,,,1.0,3.0,3.0,37.0,29.0,4.0,4.0,0.7838,Count Suppressed,Count Suppressed,<9%,18303.0,1855016.2
17,Clark,6119.0,Battle Ground School District,2415.0,Battle Ground High School,P,12th Grade,512.0,225.0,0.0,287.0,2.0,8.0,2.0,36.0,2.0,19.0,443.0,22.0,0.0,17.0,17.0,125.0,0.0,5.0,27.0,19.0,84.0,490.0,511.0,495.0,495.0,387.0,512.0,457.0,62.0,1.0,6.0,14.0,22.0,68.0,451.0,397.0,11.0,43.0,0.8803,524,23,4.40%,6119.0,25229748.5
18,Clark,6119.0,Battle Ground School District,1875.0,Homelink River,A,12th Grade,82.0,47.0,0.0,35.0,0.0,1.0,0.0,9.0,0.0,2.0,70.0,1.0,0.0,0.0,5.0,29.0,0.0,0.0,1.0,10.0,7.0,81.0,82.0,82.0,77.0,53.0,82.0,94.0,14.0,1.0,1.0,3.0,14.0,16.0,92.0,73.0,0.0,19.0,0.7935,Count Suppressed,Count Suppressed,<3%,6119.0,10052255.9
19,Clark,6119.0,Battle Ground School District,4104.0,Prairie High School,P,12th Grade,371.0,178.0,0.0,193.0,4.0,19.0,2.0,53.0,0.0,16.0,277.0,22.0,0.0,13.0,16.0,110.0,0.0,3.0,8.0,14.0,49.0,349.0,369.0,358.0,355.0,261.0,371.0,328.0,73.0,2.0,,8.0,22.0,56.0,345.0,299.0,14.0,32.0,0.8667,400,14,3.50%,6119.0,19674086.9
20,Clark,6119.0,Battle Ground School District,4450.0,Summit View High School,A,12th Grade,220.0,123.0,0.0,97.0,4.0,2.0,0.0,22.0,1.0,13.0,178.0,6.0,0.0,0.0,29.0,108.0,0.0,1.0,48.0,10.0,21.0,214.0,219.0,220.0,191.0,112.0,220.0,165.0,23.0,,3.0,23.0,51.0,9.0,179.0,50.0,52.0,77.0,0.2793,Count Suppressed,Count Suppressed,<1%,6119.0,4284860.4
21,King,17405.0,Bellevue School District,2701.0,Bellevue High School,P,12th Grade,453.0,212.0,0.0,241.0,2.0,147.0,11.0,37.0,0.0,37.0,219.0,24.0,0.0,3.0,3.0,63.0,0.0,1.0,13.0,66.0,31.0,429.0,452.0,450.0,450.0,390.0,453.0,413.0,90.0,4.0,10.0,3.0,5.0,67.0,436.0,403.0,11.0,22.0,0.9243,Count Suppressed,Count Suppressed,<1%,17405.0,22307107.1
22,King,17405.0,Bellevue School District,3588.0,Interlake Senior High School,P,12th Grade,397.0,186.0,1.0,210.0,1.0,140.0,19.0,68.0,1.0,29.0,139.0,35.0,0.0,73.0,5.0,99.0,0.0,0.0,11.0,40.0,38.0,362.0,397.0,324.0,392.0,298.0,397.0,377.0,59.0,4.0,3.0,2.0,13.0,45.0,391.0,359.0,10.0,22.0,0.9182,Count Suppressed,Count Suppressed,<1%,17405.0,26948197.3
23,King,17405.0,Bellevue School District,3486.0,Newport Senior High School,P,12th Grade,428.0,195.0,0.0,233.0,1.0,229.0,14.0,34.0,1.0,23.0,126.0,23.0,0.0,8.0,4.0,66.0,0.0,1.0,6.0,36.0,35.0,405.0,428.0,420.0,424.0,362.0,428.0,400.0,55.0,,1.0,2.0,1.0,35.0,420.0,404.0,12.0,4.0,0.9619,Count Suppressed,Count Suppressed,<1%,17405.0,25057708.3
24,King,17405.0,Bellevue School District,3282.0,Sammamish Senior High,P,12th Grade,293.0,141.0,1.0,151.0,1.0,66.0,20.0,48.0,1.0,23.0,134.0,26.0,0.0,1.0,13.0,99.0,0.0,0.0,14.0,36.0,38.0,267.0,292.0,292.0,280.0,194.0,293.0,256.0,54.0,,1.0,7.0,12.0,30.0,280.0,257.0,3.0,20.0,0.9179,Count Suppressed,Count Suppressed,<1%,17405.0,18557946.2
25,Whatcom,37501.0,Bellingham School District,2553.0,Bellingham High School,P,12th Grade,243.0,119.0,0.0,124.0,4.0,14.0,2.0,43.0,1.0,15.0,164.0,10.0,0.0,17.0,13.0,72.0,1.0,1.0,13.0,25.0,19.0,233.0,242.0,226.0,230.0,171.0,242.0,231.0,36.0,,,7.0,3.0,20.0,247.0,220.0,17.0,10.0,0.8907,Count Suppressed,Count Suppressed,<1%,37501.0,14254047.0
26,,,,1694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,
27,Whatcom,37501.0,Bellingham School District,1647.0,Options High School,A,12th Grade,51.0,33.0,0.0,18.0,2.0,0.0,3.0,11.0,0.0,7.0,28.0,1.0,0.0,0.0,11.0,36.0,0.0,0.0,6.0,9.0,9.0,50.0,50.0,51.0,40.0,15.0,51.0,56.0,5.0,,2.0,1.0,3.0,6.0,55.0,39.0,10.0,6.0,0.7091,Count Suppressed,Count Suppressed,<5%,37501.0,3316090.2
28,Whatcom,37501.0,Bellingham School District,3576.0,Sehome High School,P,12th Grade,305.0,146.0,0.0,159.0,3.0,18.0,8.0,30.0,0.0,16.0,230.0,5.0,0.0,44.0,9.0,73.0,2.0,0.0,7.0,26.0,28.0,300.0,303.0,261.0,296.0,232.0,303.0,294.0,33.0,,,1.0,6.0,35.0,292.0,268.0,17.0,7.0,0.9178,Count Suppressed,Count Suppressed,<1%,37501.0,14971434.4
29,Whatcom,37501.0,Bellingham School District,4515.0,Squalicum High School,P,12th Grade,311.0,162.0,0.0,149.0,3.0,37.0,5.0,74.0,1.0,22.0,169.0,15.0,0.0,15.0,14.0,119.0,6.0,0.0,19.0,26.0,27.0,296.0,310.0,296.0,297.0,192.0,305.0,286.0,37.0,2.0,2.0,9.0,14.0,20.0,303.0,257.0,19.0,27.0,0.8482,323,7,2.20%,37501.0,15966148.4
30,Pierce,27403.0,Bethel School District,5372.0,Acceleration Academy,R,12th Grade,184.0,79.0,0.0,105.0,6.0,6.0,19.0,26.0,3.0,8.0,116.0,7.0,0.0,0.0,8.0,70.0,0.0,0.0,51.0,6.0,24.0,177.0,184.0,184.0,176.0,114.0,184.0,158.0,13.0,,3.0,19.0,51.0,84.0,87.0,4.0,10.0,73.0,0.046,Count Suppressed,Count Suppressed,<1%,27403.0,563368.4
31,Pierce,27403.0,Bethel School District,2807.0,Bethel High School,P,12th Grade,405.0,200.0,0.0,205.0,5.0,17.0,27.0,65.0,17.0,34.0,240.0,7.0,0.0,37.0,14.0,157.0,0.0,26.0,16.0,4.0,51.0,398.0,404.0,368.0,391.0,248.0,405.0,393.0,59.0,4.0,1.0,4.0,15.0,68.0,384.0,352.0,8.0,24.0,0.9167,Count Suppressed,Count Suppressed,4.90%,27403.0,21157775.7
32,Pierce,27403.0,Bethel School District,1510.0,Challenger High School,A,12th Grade,148.0,77.0,0.0,71.0,1.0,2.0,12.0,36.0,4.0,16.0,77.0,2.0,0.0,0.0,29.0,101.0,0.0,1.0,27.0,11.0,26.0,146.0,147.0,148.0,119.0,47.0,148.0,122.0,12.0,,1.0,1.0,15.0,14.0,120.0,82.0,21.0,17.0,0.6833,176,4,2.30%,27403.0,4397801.0
33,Pierce,27403.0,Bethel School District,5033.0,Graham Kapowsin High School,P,12th Grade,425.0,206.0,0.0,219.0,3.0,13.0,30.0,71.0,4.0,51.0,253.0,16.0,0.0,36.0,16.0,141.0,0.0,24.0,20.0,18.0,51.0,409.0,423.0,389.0,409.0,284.0,425.0,435.0,70.0,1.0,3.0,10.0,19.0,72.0,433.0,379.0,21.0,33.0,0.8753,448,15,3.30%,27403.0,22450848.6
34,Pierce,27403.0,Bethel School District,4158.0,Spanaway Lake High School,P,12th Grade,324.0,167.0,0.0,157.0,4.0,28.0,49.0,56.0,19.0,36.0,132.0,13.0,0.0,10.0,9.0,160.0,0.0,9.0,20.0,8.0,51.0,311.0,323.0,314.0,315.0,164.0,324.0,339.0,64.0,3.0,1.0,6.0,12.0,91.0,312.0,276.0,14.0,22.0,0.8846,347,12,3.50%,27403.0,19608030.3
35,Whatcom,37503.0,Blaine School District,3136.0,Blaine High School,P,12th Grade,162.0,67.0,0.0,95.0,1.0,4.0,0.0,24.0,3.0,11.0,119.0,3.0,0.0,15.0,3.0,63.0,0.0,2.0,9.0,12.0,23.0,159.0,160.0,147.0,159.0,99.0,162.0,140.0,39.0,1.0,5.0,6.0,4.0,40.0,139.0,118.0,5.0,16.0,0.8489,Count Suppressed,Count Suppressed,<2%,37503.0,9782898.7
36,Kitsap,18100.0,Bremerton School District,3109.0,Bremerton High School,P,12th Grade,262.0,123.0,0.0,139.0,1.0,22.0,8.0,50.0,7.0,37.0,137.0,10.0,0.0,4.0,13.0,146.0,1.0,16.0,20.0,13.0,34.0,252.0,262.0,258.0,249.0,116.0,261.0,248.0,60.0,2.0,4.0,10.0,24.0,33.0,275.0,217.0,18.0,40.0,0.7891,285,12,4.20%,18100.0,18068931.8
37,Kitsap,18100.0,Bremerton School District,1737.0,Renaissance Alternative High School,A,12th Grade,37.0,22.0,0.0,15.0,1.0,0.0,1.0,6.0,2.0,11.0,16.0,0.0,0.0,0.0,9.0,22.0,0.0,2.0,12.0,4.0,4.0,37.0,35.0,37.0,28.0,15.0,37.0,47.0,2.0,,2.0,5.0,10.0,2.0,47.0,18.0,12.0,17.0,0.383,Count Suppressed,Count Suppressed,<5%,18100.0,2050084.3
38,Douglas,9075.0,Bridgeport School District,2788.0,Bridgeport High School,P,12th Grade,62.0,18.0,0.0,44.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,24.0,0.0,2.0,5.0,58.0,9.0,0.0,4.0,2.0,12.0,38.0,62.0,60.0,57.0,4.0,53.0,53.0,8.0,1.0,1.0,,1.0,3.0,58.0,53.0,2.0,3.0,0.9138,Count Suppressed,Count Suppressed,<5%,9075.0,3995276.5
39,Skagit,29100.0,Burlington-Edison School District,1928.0,Burlington-Edison Alternative School,A,12th Grade,29.0,17.0,0.0,12.0,1.0,0.0,1.0,16.0,0.0,0.0,11.0,5.0,0.0,0.0,6.0,18.0,3.0,0.0,5.0,1.0,0.0,24.0,28.0,29.0,23.0,11.0,26.0,24.0,3.0,,2.0,2.0,4.0,2.0,25.0,15.0,2.0,8.0,0.6,Count Suppressed,Count Suppressed,<8%,29100.0,1029873.4
40,Skagit,29100.0,Burlington-Edison School District,2362.0,Burlington Edison High School,P,12th Grade,251.0,126.0,0.0,125.0,1.0,5.0,5.0,88.0,0.0,6.0,146.0,31.0,0.0,43.0,11.0,104.0,4.0,0.0,12.0,5.0,42.0,220.0,250.0,208.0,240.0,147.0,247.0,256.0,33.0,2.0,4.0,6.0,14.0,30.0,259.0,228.0,5.0,26.0,0.8803,281,8,2.80%,29100.0,16082247.5
41,Clark,6117.0,Camas School District,4567.0,Camas High School,P,12th Grade,567.0,294.0,0.0,273.0,0.0,54.0,5.0,43.0,1.0,37.0,427.0,2.0,0.0,2.0,10.0,63.0,0.0,1.0,14.0,39.0,60.0,565.0,567.0,565.0,557.0,504.0,567.0,533.0,63.0,2.0,3.0,2.0,13.0,57.0,539.0,501.0,18.0,20.0,0.9295,Count Suppressed,Count Suppressed,<1%,6117.0,25212612.2
42,Clark,6117.0,Camas School District,5104.0,Hayes Freedom High School,P,12th Grade,46.0,20.0,0.0,26.0,0.0,1.0,0.0,4.0,0.0,3.0,38.0,0.0,0.0,0.0,3.0,21.0,0.0,0.0,7.0,7.0,7.0,46.0,46.0,46.0,43.0,25.0,46.0,43.0,12.0,,1.0,1.0,4.0,12.0,43.0,32.0,5.0,6.0,0.7442,Count Suppressed,Count Suppressed,<6%,6117.0,2235574.7
43,Chelan,4228.0,Cascade School District,3564.0,Cascade High School,P,12th Grade,94.0,47.0,0.0,47.0,1.0,1.0,1.0,28.0,0.0,0.0,63.0,2.0,0.0,0.0,5.0,44.0,6.0,0.0,4.0,5.0,9.0,92.0,94.0,94.0,89.0,50.0,88.0,93.0,21.0,,1.0,,7.0,20.0,94.0,83.0,3.0,8.0,0.883,105,4,3.80%,4228.0,5883500.0
44,Chelan,4222.0,CASHMERE SCHOOL DISTRICT,3268.0,CASHMERE HIGH SCHOOL,P,12th Grade,117.0,62.0,0.0,55.0,0.0,0.0,0.0,41.0,0.0,3.0,73.0,6.0,0.0,0.0,2.0,50.0,7.0,0.0,9.0,2.0,7.0,111.0,116.0,117.0,115.0,67.0,110.0,115.0,9.0,,,2.0,4.0,12.0,112.0,105.0,1.0,6.0,0.9375,Count Suppressed,Count Suppressed,<3%,4222.0,6037801.1
45,Cowlitz,8401.0,Castle Rock School District,2281.0,Castle Rock High School,P,12th Grade,110.0,56.0,0.0,54.0,1.0,1.0,0.0,14.0,0.0,6.0,88.0,5.0,0.0,0.0,3.0,55.0,0.0,6.0,5.0,11.0,14.0,105.0,110.0,110.0,107.0,55.0,110.0,101.0,14.0,1.0,,1.0,6.0,10.0,105.0,87.0,10.0,8.0,0.8286,116,4,3.40%,8401.0,5495099.0
46,Kitsap,18401.0,Central Kitsap School District,5472.0,Barker Creek Community School,A,12th Grade,136.0,54.0,0.0,82.0,0.0,0.0,3.0,17.0,1.0,21.0,94.0,0.0,0.0,3.0,0.0,59.0,0.0,12.0,36.0,15.0,21.0,136.0,135.0,133.0,136.0,77.0,136.0,102.0,20.0,,,,16.0,13.0,109.0,70.0,23.0,16.0,0.6422,154,4,2.60%,18401.0,5540494.8
47,Kitsap,18401.0,Central Kitsap School District,2615.0,Central Kitsap High School,P,12th Grade,353.0,174.0,0.0,179.0,0.0,40.0,14.0,52.0,3.0,58.0,186.0,2.0,0.0,0.0,1.0,91.0,0.0,65.0,11.0,13.0,43.0,351.0,353.0,353.0,352.0,262.0,353.0,320.0,88.0,,,3.0,5.0,84.0,324.0,297.0,19.0,8.0,0.9167,366,6,1.60%,18401.0,20191104.6
48,,,,5199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,
